torch_name,onnx_name
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.norm2.bias,b1.a73.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.linear.linear1.weight,onnx::MatMul_9425
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.linear.linear1.bias,b1.a74.fc1.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.linear.linear2.weight,onnx::MatMul_9426
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.linear.linear2.bias,b1.a74.fc2.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.attention.earth_specific_bias,onnx::Add_9423
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.attention.linear1.weight,onnx::MatMul_9419
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.attention.linear1.bias,b1.a70.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.attention.linear2.weight,onnx::MatMul_9424
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.attention.linear2.bias,b1.a71.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.norm1.weight,b1.a80.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.norm1.bias,b1.a80.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.norm2.weight,b1.a81.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.norm2.bias,b1.a81.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.linear.linear1.weight,onnx::MatMul_9438
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.linear.linear1.bias,b1.a82.fc1.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.linear.linear2.weight,onnx::MatMul_9439
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.linear.linear2.bias,b1.a82.fc2.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.attention.earth_specific_bias,onnx::Add_9436
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.attention.linear1.weight,onnx::MatMul_9432
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.attention.linear1.bias,b1.a78.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.attention.linear2.weight,onnx::MatMul_9437
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.attention.linear2.bias,b1.a79.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.norm1.weight,b1.a88.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.norm1.bias,b1.a88.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.norm2.weight,b1.a89.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.norm2.bias,b1.a89.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.linear.linear1.weight,onnx::MatMul_9545
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.linear.linear1.bias,b1.a90.fc1.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.linear.linear2.weight,onnx::MatMul_9546
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.linear.linear2.bias,b1.a90.fc2.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.attention.earth_specific_bias,onnx::Add_9543
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.attention.linear1.weight,onnx::MatMul_9539
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.attention.linear1.bias,b1.a86.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.attention.linear2.weight,onnx::MatMul_9544
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.attention.linear2.bias,b1.a87.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.norm1.weight,b1.a96.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.norm1.bias,b1.a96.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.norm2.weight,b1.a97.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.norm2.bias,b1.a97.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.linear.linear1.weight,onnx::MatMul_9558
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.linear.linear1.bias,b1.a98.fc1.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.linear.linear2.weight,onnx::MatMul_9559
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.linear.linear2.bias,b1.a98.fc2.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.attention.earth_specific_bias,onnx::Add_9556
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.attention.linear1.weight,onnx::MatMul_9552
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.attention.linear1.bias,b1.a94.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.attention.linear2.weight,onnx::MatMul_9557
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.attention.linear2.bias,b1.a95.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.norm1.weight,b1.a104.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.norm1.bias,b1.a104.bias
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.norm2.weight,b1.a105.weight
backbone.layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.norm2.bias,b1.a105.bias
